日期+Q3A1:CO30,0:00,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,日平均负荷,日最高负荷,日最低负荷,日类型,low,hih,avag
2002/11/11,1408.014038,1418.777954,1415.703003,1338.348022,1372.630005,1314.855957,1357.661011,1363.607056,1396.254028,1322.572998,1319.146973,1355.728027,1319.277954,1287.508057,1290.014038,1274.202026,1326.754028,1340.88501,1347.120972,1400.462036,1366.333008,1424.637939,1391.094971,1369.661011,1449.27002,1488.936035,1529.081055,1547.034058,1582.600952,1558.639038,1559.259033,1617.291992,1663.612061,1744.447998,1772.734009,1815.47998,1780.067017,1858.67395,1883.723999,1889.73999,1876.105957,1932.853027,1919.186035,1985.036011,2005.387939,1953.331055,1845.879028,1823.686035,1788.177979,1778.296997,1744.097046,1798.365967,1757.545044,1849.402954,1857.979004,1832.043945,1853.956055,1890.78894,1820.665039,1895.602051,1833.295044,1821.251953,1821.265991,1846.86499,1846.036011,1852.477051,1874.390015,1958.250977,2004.797974,2070.839111,2095.983887,2058.643066,2043.406006,2067.39209,2041.754028,2046.656006,2015.661011,2013.465942,1944.062012,1932.364014,1935.915039,1986.432983,1979.202026,1925.655029,1894.833984,1860.291016,1808.520996,1737.847046,1742.71106,1749.102051,1602.501953,1626.16394,1606.939941,1525.380981,1512.899048,1521.869995,1704.95158,2095.983887,1274.202026,1,8,22,15
2002/11/12,1488.946045,1422.083984,1437.249023,1395.453003,1392.970947,1369.053955,1366.92395,1382.209961,1386.156982,1365.614014,1351.862061,1381.942993,1316.397949,1334.677979,1378.973022,1386.901978,1311.067993,1370.121948,1374.938965,1319.166992,1360.571045,1418.94397,1364.855957,1424.124023,1456.442993,1491.348022,1547.05896,1536.612061,1583.956055,1542.946045,1571.594971,1642.927002,1700.713013,1710.738037,1774.380981,1815.892944,1834.473999,1844.707031,1876.292969,1859.253052,1862.307007,1948.439941,1975.11499,1984.491943,1930.828003,1921.061035,1801.97998,1723.833008,1704.161987,1705.880005,1680.186035,1761.267944,1739.688965,1857.404053,1845.188965,1869.587036,1864.733032,1877.26001,1857.968018,1841.241943,1786.590942,1843.96106,1846.44104,1814.795044,1837.535034,1883.499023,1895.255005,1975.865967,1951.911011,2064.720947,2037.108032,2095.337891,2011.887939,1995.916016,1968.35498,2003.571045,2022.265015,1980.260986,1941.930054,1961.93396,2012.472046,1942.962036,1877.636963,1856.545044,1890.828979,1854.876953,1827.534058,1797.953003,1712.329956,1738.983032,1664.406982,1634.760986,1571.098999,1513.793945,1526.219971,1495.198975,1702.915768,2095.337891,1311.067993,2,9,18,13.5
2002/11/13,1432.057007,1425.677002,1413.615967,1384.415039,1321.110962,1380.786987,1355.21106,1348.267944,1329.60498,1336.248047,1348.873047,1286.610962,1339.869995,1285.989014,1365.831055,1363.660034,1340.510986,1363.772949,1382.579956,1366.194946,1367.869995,1348.843994,1365.937988,1373.473022,1339.098022,1318.671997,1337.651001,1379.010986,1514.692993,1522.256958,1632.435059,1628.80896,1705.180054,1729.890991,1748.379028,1806.952026,1862.760986,1885.754028,1912.337036,1902.482056,1958.661011,1976.161011,2001.713013,2001.177979,1983.769043,2000.074951,1846.328979,1842.152954,1801.342041,1785.046997,1767.594971,1758.05603,1778.729004,1875.61499,1901.537964,1862.227051,1911.16394,1903.072998,1862.287964,1890.609009,1849.858032,1860.074951,1858.58606,1890.161011,1898.515015,1940.166992,2017.515991,2050.596924,2052.539063,2063.429932,2123.906982,2133.964111,2105.163086,1989.779053,2086.173096,2020.152954,2015.35498,1975.702026,2021.364014,1985.145996,1998.123047,1928.097046,1905.39502,1903.166016,1921.641968,1847.870972,1846.805054,1834.727051,1716.264038,1671.828003,1625.706055,1571.614014,1539.134033,1575.552979,1515.319946,1447.307007,1711.952079,2133.964111,1285.989014,3,9,18,13.5
2002/11/14,1449.779053,1466.817017,1489.870972,1401.442993,1350.739014,1405.43396,1368.824951,1357.985962,1401.699951,1312.577026,1350.494995,1327.030029,1383.989014,1341.612061,1312.128052,1324.172974,1392.03894,1351.155029,1418.468018,1380.208008,1384.840942,1338.313965,1415.552002,1471.780029,1497.890991,1494.118042,1546.324951,1553.420044,1541.313965,1587.130005,1656.161987,1686.25,1720.593018,1772.552979,1790.784058,1827.852051,1895.707031,1885.712036,1967.484985,2001.541016,2013.677979,2079.532959,2028.271973,2025.651978,2031.525024,1993.541016,1962.942993,1889.547974,1783.409058,1859.337036,1837.547974,1885.619019,1823.296021,1909.166992,1921.870972,1896.829956,1896.426025,1885.001953,1921.917969,1927.932007,1898.609985,1941.057983,1881.032959,1909.400024,1928.177979,1958.13501,2014.188965,2030.935059,2082.989014,2097.364014,2126.475098,2136.173096,2115.873047,2120.753906,2010.097046,2059.584961,2049.779053,2060.545898,2047.793945,1988.462036,1943.378052,1996.880005,1905.152954,1921.30603,1901.771973,1891.046997,1840.535034,1799.130981,1709.331055,1712.689941,1676.176025,1635.864014,1552.495972,1548.447998,1526.545044,1520.702026,1747.226273,2136.173096,1312.128052,4,10,16,13
2002/11/15,1445.543945,1470.129028,1413.454956,1440.956055,1373.551025,1452.105957,1398.313965,1405.917969,1348.133057,1385.123047,1375.72998,1367.407959,1327.014038,1339.906982,1331.581055,1369.92395,1345.781006,1405.417969,1349.834961,1423.19104,1356.160034,1426.259033,1440.805054,1467.560059,1415.871948,1522.625977,1536.44104,1590.239014,1550.628052,1595.250977,1609.364014,1683.001953,1701.360962,1794.532959,1808.563965,1876.918945,1884.094971,1951.859009,1966.312012,1981.374023,2011.949951,2019.677979,2072.575928,2095.738037,2086.791992,2039.646973,1954.33606,1853.651978,1864.095947,1857.052002,1858.036011,1846.81604,1903.840942,1915.031006,1966.635986,1949.327026,1952.015015,1899.947021,1940.979004,1939.651978,1963.25,1914.644043,1923.767944,1917.953979,1998.802979,2025.594971,1999.958008,2071.600098,2145.699951,2137.375,2108.352051,2148.394043,2128.970947,2052.433105,2036.906006,2028.20105,2033.750977,2042.223999,2038.131958,1988.98999,1998.364014,1984.837036,1920.458008,1914.91394,1972.188965,1916.14502,1865.651001,1806.581055,1777.599976,1755.578979,1709.918945,1635.270996,1681.027954,1599.280029,1589.046997,1503.514038,1763.452259,2148.394043,1327.014038,5,11,14,12.5
2002/11/16,1530.831055,1528.392944,1521.14502,1402.114014,1406.871948,1421.885986,1409.561035,1396.86499,1366.594971,1418.495972,1326.483032,1364.656006,1362.865967,1353.25,1357.11499,1363.814941,1388.86499,1382.588013,1317.613037,1399.494019,1346.022949,1405.407959,1388.802979,1438.33606,1413.840942,1435.255981,1490.349976,1459.313965,1515.848999,1583.053955,1573.465942,1622.508057,1658.029053,1706.411987,1745.493042,1781.156982,1773.717041,1806.958984,1772.656006,1847.425049,1813.470947,1825.244995,1876.494995,1925.935059,1871.000977,1868.977051,1790.488037,1777.728027,1752.796997,1739.66394,1757.546997,1726.159058,1812.005981,1773.803955,1777.463013,1834.521973,1821.333008,1809.656982,1754.218994,1732.543945,1792.218994,1777.156982,1724.098022,1857.858032,1758.776001,1854.858032,1893.860962,1911.993042,1916.817993,1991.93103,2031.887939,2076.697998,2019.692017,1954.552002,1995.021973,1979.634033,2007.902954,1971.331055,1917.05896,1955.526978,1979.626953,1979.302002,1915.355957,1879.740967,1876.312012,1891.739014,1840.765015,1746.407959,1782.616943,1722.514038,1660.718018,1595.98999,1622.41394,1568.802002,1528.187988,1553.245972,1691.22112,2076.697998,1317.613037,6,4,16,10
2002/11/17,1445.593018,1480.619995,1449.157959,1525.686035,1418.375977,1391.505981,1421.355957,1397.321045,1426.239014,1382.647949,1387.887939,1352.569946,1356.817993,1410.307007,1401.73999,1369.261963,1355.930054,1395.245972,1349.035034,1396.149048,1419.979004,1430.26001,1354.397949,1454.364014,1380.896973,1450.352051,1421.952026,1490.68396,1508.43396,1478.551025,1539.750977,1540.582031,1581.633057,1681.167969,1673.401001,1676.89502,1688.109009,1797.162964,1819.540039,1842.04895,1841.602051,1879.412964,1884.607056,1909.675049,1924.38501,1911.438965,1842.849976,1788.917969,1771.784058,1781.822998,1758.109009,1753.68396,1775.680054,1810.875,1813.831055,1783.916992,1811.938965,1821.386963,1830.312012,1830.307007,1826.343994,1836.358032,1833.402954,1892.610962,1827.980957,1894.087036,1945.400024,1992.562988,1994.18396,2040.032959,2090.749023,2068.781006,2047.170044,2034.02002,1982.531006,2004.343018,1944.801025,1991.656982,1966.72998,1969.953003,1899.259033,1955.769043,1881.276001,1933.222046,1888.848999,1827.765015,1797.651978,1760.534058,1769.037964,1660.357056,1648.126953,1581.838989,1611.791992,1521.114014,1556.313965,1540.342041,1696.740574,2090.749023,1349.035034,7,1,12,6.5
2002/11/18,1486.795044,1461.244019,1454.453003,1460.698975,1361.243042,1345.956055,1395.005005,1410.374023,1399.217041,1365.873047,1338.012939,1368.241943,1362.149048,1423.567993,1347.348999,1386.196045,1339.344971,1391.473999,1365.572998,1341.578979,1348.21106,1399.218018,1404.369995,1395.401001,1438.545044,1470.473022,1505.458984,1550.189941,1546.307983,1550.625,1580.494995,1632.265015,1732.241943,1863.984009,1910.666992,1913.567017,1926.581055,1956.552979,1983.917969,2016.249023,2036.437988,2064.447998,2068.858887,2139.145996,2115.022949,2098.715088,2012.67395,1926.732056,1860.119995,1860.307007,1880.612061,1899.20105,1913.317017,1938.120972,1992.16394,2010.468018,1974.328979,1982.478027,1999.640991,1995.13501,1961,1989.777954,1993.870972,2055.458984,2015.412964,2087.958008,2105.813965,2135.731934,2157.173096,2190.708008,2213.850098,2188.61499,2208.27002,2181.071045,2119.0979,2118.420898,2129.020996,2145.329102,2058.621094,2086.4021,2071.013916,2071.926025,2067.574951,1963.482056,2007.522949,1931.668945,1951.469971,1847.223022,1842.875,1769,1746.921021,1628.55603,1618.967041,1632.625,1571.626953,1590.54895,1793.252106,2213.850098,1338.012939,1,4,13,8.5
2002/11/19,1518.415039,1547.115967,1478.250977,1482.110962,1506.034058,1469.812988,1453.073975,1441.338989,1371.93103,1362.119019,1399.405029,1394.89502,1376.269043,1405.755005,1424.687012,1408.624023,1362.718018,1432.488037,1424.552979,1449.895996,1416.063965,1424.772949,1540.001953,1517.405029,1530.833008,1571.108032,1632.870972,1616.972046,1620.296021,1647.225952,1624.958984,1752.817993,1775.176025,1856.57605,1882.036011,1983.89502,2013.727051,2060.485107,2064.552979,2033.824951,2055.966064,2104.831055,2139.708984,2156.112061,2136.508057,2060.501953,1987.828003,1919.090942,1903.60498,1922.264038,1918.300049,1935.487061,1946.561035,1919.022949,1948.197021,1974.212036,1986.332031,1950.291992,1973.958008,1915.587036,1937.285034,1941.119995,1967.602051,1956.151001,1937.734985,2003.564941,2022.369995,2089.073975,2061.081055,2162.801025,2164.115967,2198.041016,2105.958008,2170.556885,2071.031982,2113.250977,2115.779053,2107.321045,2106.697021,2075.034912,2092.253906,2080.243896,2036.275024,2017.474976,2003.667969,1918.277954,1903.704956,1921.894043,1820.223022,1790.885986,1700.145996,1707.942993,1645.296021,1617.411987,1546.17395,1558.218994,1810.376263,2198.041016,1362.119019,2,7,11,9
2002/11/20,1488.300049,1521.244995,1518.317017,1475.904053,1459.511963,1457.725952,1469.807007,1408.087036,1418.270996,1457.014038,1401.651001,1347.729004,1373.720947,1463.131958,1452.286011,1426.060059,1418.646973,1419.296997,1447.187988,1426.645996,1431.807007,1467.666016,1447.374023,1483.345947,1555.380981,1577,1583.39502,1567.412964,1658.411987,1657.079956,1689.270996,1714.921021,1839.378052,1844.340942,1939.812988,1940.630981,1987.813965,2042.537964,2065.533936,2097.888916,2079.178955,2153.331055,2144.550049,2221.737061,2179.704102,2078.389893,2000.124023,1947.208008,1966.531982,1927.578979,1936.503052,1997.462036,2010.062988,2052.935059,2074.283936,2061.50708,2088.891113,2078.240967,2069.989014,2018.04895,2044.977051,2032.495972,2077.541016,2039.125977,2115.714111,2145.211914,2156.547119,2192.047119,2180.800049,2267.968018,2209.187988,2171.978027,2197.415039,2165.396973,2162.952881,2144.595947,2089.741943,2134.62793,2119.054932,2089.153076,2037.630981,2050.879883,2026.984009,2002.03894,1971.072021,1970.457031,1936.360962,1873.744019,1833.026001,1789.151001,1747.579956,1645.203979,1647.06897,1617.578003,1580.504028,1585.177002,1839.362415,2267.968018,1347.729004,3,10,12,11
2002/11/21,1538.973999,1544.552002,1513.103027,1453.803955,1515.845947,1455.758057,1412.697998,1472.444946,1456.73999,1457.46106,1440.871948,1420.870972,1421.593994,1367.074951,1367.317993,1414.762939,1410.032959,1417.958984,1443.588989,1428.694946,1432.543945,1425.42395,1429.206055,1495.235962,1460.697021,1548.937988,1586.621948,1617.13501,1569.839966,1647.613037,1673.708984,1770.588013,1841.161011,1898.18103,1906.905029,1981.452026,2008.129028,2061.779053,2074.354004,2106.833984,2113.958984,2126.781006,2154.725098,2187.363037,2140.707031,2197.647949,2029.490967,2041.016968,1923.670044,1956.402954,1952.146973,2014.392944,2017.577026,2040.136963,2039.202026,2011.526978,2047.333008,2040.785034,2039.010986,1985.18103,2022.149048,2032.722046,2042.05896,2044.454956,2053.059082,2090.72998,2087.702881,2189.156982,2200.965088,2167.810059,2221.62793,2170.160889,2171.966064,2127.858887,2141.939941,2147.26709,2068.272949,2107.329102,2078.764893,2096.322021,2109.01709,2012.702026,2008.187988,2048.922119,1966.500977,1986.651978,1981.436035,1890.834961,1848.227051,1828.714966,1807.792969,1709.869019,1641.074951,1634.765015,1548.781982,1595.782959,1837.824319,2221.62793,1367.074951,4,5,14,9.5
